id,original_name,vivino_url,rating,ratings_count,body,tannin,sweetness,acidity,fizziness,aroma_keywords,aroma_mentions
w01,개스톰버튼 엑스트라브륏,https://www.vivino.com/en/gaston-burtin-extra-brut-champagne/w/12489584,4.1,102,2.8,,,3.15,3.38,,
w03,생콤 레듀스 알비옹 루즈,https://www.vivino.com/en/chateau-de-saint-cosme-cotes-du-rhone-les-deux-albion/w/1173569,3.8,7226,3.67,3.06,1.3,3.18,,"taste profile of, is based on, user reviews, blackberry, plum, dark, mentions of black, fruit notes, leather, smoke, earthy, mentions of earthy",477 mentions of black fruit notes | 452 mentions of earthy notes | 306 mentions of oaky notes
w04,몽푸콩 바롱 루이,https://www.vivino.com/en/de-montfaucon-baron-louis-lirac-cotes-du-rhone/w/1117640,3.9,4017,3.57,2.83,1.4,3.11,,"taste profile of, is based on, user reviews, leather, earthy, smoke, mentions of earthy, blackberry, plum, dark, mentions of black, fruit notes",235 mentions of earthy notes | 207 mentions of black fruit notes | 195 mentions of red fruit notes
w05,몽푸콩 샤또네프 뒤 빠쁘,https://www.vivino.com/en/de-montfaucon-chateauneuf-du-pape/w/4821949,4.1,596,4.32,2.62,1.25,2.81,,"taste profile of, is based on, user reviews, cedar, clove, mentions of oaky notes, cherry, raspberry, mentions of red fruit, blackberry, plum, black",44 mentions of oaky notes | 41 mentions of red fruit notes | 29 mentions of black fruit notes
w06,라살라 끼안티 클라시코,https://www.vivino.com/en/it-la-sala-chianti-classico/w/2140869,4.0,1709,2.86,3.24,1.34,3.47,,"taste profile of, is based on, user reviews, cherry, raspberry, mentions of red fruit, vanilla, tobacco, mentions of oaky notes, leather, earthy, minera",142 mentions of red fruit notes | 96 mentions of oaky notes | 60 mentions of earthy notes
w07,라살라 끼안티 클라시코 리제르바,https://www.vivino.com/en/it-la-sala-chianti-classico-riserva/w/2221646,4.1,572,3.22,3.27,1.36,3.42,,"taste profile of, is based on, user reviews, chocolate, milk ch, mentions of oaky notes, plum, blackberry, black, mentions of black, fruit notes, cherry",40 mentions of oaky notes | 26 mentions of black fruit notes | 23 mentions of red fruit notes
w08,깜뽀 알베로,https://www.vivino.com/en/it-la-sala-campo-all-albero/w/1195511,4.3,652,3.42,2.88,1.29,2.66,,"taste profile of, is based on, user reviews, tobacco, dark choc, mentions of oaky notes, blackcurrant, plum, mentions of black, fruit notes, earthy, cocoa",35 mentions of oaky notes | 21 mentions of black fruit notes | 19 mentions of earthy notes
w09,파팔레 리네아 오로,https://www.vivino.com/en/varvaglione-papale-linea-oro-primitivo-di-manduria/w/1202838,4.4,37361,3.73,1.89,2.76,1.51,,"taste profile of, is based on, user reviews, vanilla, chocolate, mentions of oaky notes, plum, blackberry, mentions of black, fruit notes, cherry, red fruit",1562 mentions of oaky notes | 1333 mentions of black fruit notes | 525 mentions of red fruit notes
w11,프로토타입 까베르네쇼비뇽,https://www.vivino.com/en/prototype-cabernet-sauvignon/w/5885528,3.8,3277,4.09,2.79,1.79,2.71,,"taste profile of, is based on, user reviews, plum, blackberry, black, mentions of black, fruit notes, vanilla, toffee, mentions of oaky notes, cherry",192 mentions of black fruit notes | 142 mentions of oaky notes | 72 mentions of red fruit notes
w12,프로토타입 진판델,https://www.vivino.com/en/prototype-zinfandel/w/6172116,4.0,4907,4.16,2.15,2.41,1.65,,"taste profile of, is based on, user reviews, blackberry, plum, mentions of black, fruit notes, vanilla, tobacco, mentions of oaky notes, cherry, raspberry",207 mentions of black fruit notes | 162 mentions of oaky notes | 141 mentions of red fruit notes
w13,프로토타입 샤르도네,https://www.vivino.com/en/prototype-chardonnay/w/6781547,3.9,1021,4.01,,2.54,2.76,,"taste profile of, is based on, user reviews, butter, vanilla, mentions of oaky notes, melon, apple, pear, mentions of tree fruit, honey, stone",41 mentions of oaky notes | 32 mentions of tree fruit notes | 20 mentions of earthy notes
w14,포웰앤썬 리버사이드 바로사 GSM,https://www.vivino.com/en/powell-son-riverside-grenache-mataro-shiraz/w/5394465,4.0,1687,4.4,2.75,1.5,2.75,,"taste profile of, is based on, user reviews, chocolate, tobacco, mentions of oaky notes, blackberry, plum, black, mentions of black, fruit notes, cherry",132 mentions of oaky notes | 129 mentions of black fruit notes | 92 mentions of red fruit notes
w15,포웰앤썬 에덴밸리 리슬링,https://www.vivino.com/en/powell-son-riesling/w/3854730,3.7,246,2.76,,3.71,,,"taste profile of, is based on, user reviews, lemon, lime, citrus, mentions of citrus, minerals, kerosene, mentions of earthy, green apple, peach",51 mentions of citrus notes | 42 mentions of earthy notes | 19 mentions of tree fruit notes
w16,마히 쇼비뇽 블랑,https://www.vivino.com/en/mahi-sauvignon-blanc/w/1112088,3.9,2598,2.2,,1.14,4.1,,"taste profile of, is based on, user reviews, citrus, grapefruit, mentions of citrus, tropical, passion fruit, mentions of tropical, gooseberry, grass, aspa",218 mentions of citrus notes | 124 mentions of tropical notes | 92 mentions of vegetal notes
w17,마히 피노누아,https://www.vivino.com/en/mahi-pinot-noir/w/1112105,3.8,890,1.87,1.82,1.14,3.53,,"taste profile of, is based on, user reviews, cherry, strawberry, mentions of red fruit, earthy, smoke, mushroom, mentions of earthy, vanilla, cola",117 mentions of red fruit notes | 63 mentions of earthy notes | 48 mentions of oaky notes
